X Y
1248.00 1644.00
1225.43 1562.52
1214.70 1431.08
1146.00 1330.00
1150.33 1213.80
1128.87 1103.82
1031.00 1094.00
712.00 1138.00
394.00 1200.00
165.87 1245.99
53.20 1229.90
114.90 1186.98
85.39 1160.15
144.41 1127.96
203.42 1111.87
222.20 1058.22
302.00 1022.00
318.77 991.16
420.70 956.29
412.65 929.46
522.63 902.64
509.22 873.13
573.60 859.72
635.30 867.77
654.07 830.21
737.23 835.58
742.59 806.07
815.02 808.75
845.00 785.00
887.45 765.83
946.46 776.56
981.33 757.79
1018.89 784.61
1048.39 752.42
1107.41 752.42
1102.04 661.22
1128.87 679.99
1123.50 602.20
1136.91 551.24
1134.23 449.30
1088.63 288.36
1067.00 100.00
1080.58 12.07
1134.23 9.38
1230.80 73.76
1252.26 30.84
1284.45 1.34
1354.19 49.62
1375.00 293.00
1367.60 430.53
1391.75 502.95
1399.79 567.33
1426.62 564.65
1429.30 634.39
1405.16 714.87
1437.35 712.18
1418.57 765.83
1548.00 765.00
1584.88 787.29
1641.21 771.20
1641.21 795.34
1713.64 803.39
1716.32 830.21
1796.80 819.48
1791.43 859.72
1826.00 843.00
1890.68 848.99
1888.00 883.86
1995.30 891.91
1984.57 929.46
2032.85 926.78
2094.55 950.92
2078.45 980.43
2153.56 991.16
2209.89 1017.98
2183.07 1050.17
2258.18 1063.59
2314.51 1101.14
2298.41 1127.96
2350.00 1136.00
2424.49 1186.98
2394.98 1213.80
2478.14 1278.18
2424.49 1291.59
2472.77 1329.15
2113.00 1234.00
1795.00 1152.00
1476.00 1103.00
1372.97 1106.50
1300.54 1237.94
1300.54 1331.83
1249.58 1420.35
1252.26 1562.52
